country,city,zone,metric,current_value,value_1w_ago,value_5w_ago,delta_1w,delta_5w
AR,Buenos Aires,Caseros - Bonich,Retail SST > SS CVR,0.8873281087,0.8946792258,0.9086051606,-0.007351117100000026,-0.021277051899999955
AR,Buenos Aires,Caseros - Bonich,Turbo Adoption,0.4981238274,0.5229831144,0.526452732,-0.024859287000000008,-0.028328904599999982
AR,Buenos Aires,Castelar - Ituzaingo,% PRO Users Who Breakeven,0.2892828364,0.2712985939,0.2642585551,0.017984242500000025,0.025024281300000006
AR,Buenos Aires,Castelar - Ituzaingo,% Restaurants Sessions With Optimal Assortment,0.8675430819,0.8780288659,0.8150091559,-0.010485783999999998,0.05253392599999995
AR,Buenos Aires,Castelar - Ituzaingo,Gross Profit UE,-0.2788764532,-0.2404682548,-1.250271547,-0.03840819839999998,0.9713950938000001
AR,Buenos Aires,Castelar - Ituzaingo,Lead Penetration,0.3145810676,0.3114991642,0.2924521945,0.0030819033999999745,0.0221288731
AR,Buenos Aires,Castelar - Ituzaingo,MLTV Top Verticals Adoption,0.1741532785,0.1792126421,0.1772265471,-0.005059363600000005,-0.0030732685999999843
AR,Buenos Aires,Castelar - Ituzaingo,Non-Pro PTC > OP,0.7347652313,0.7353337966,0.7513065166,-0.0005685652999999347,-0.016541285299999986
AR,Buenos Aires,Castelar - Ituzaingo,Perfect Orders,0.8869721613,0.8914032181,0.8860056373,-0.0044310567999999995,0.0009665239999999686
AR,Buenos Aires,Castelar - Ituzaingo,Pro Adoption (Last Week Status),0.3004062976,0.2856524562,0.2749784668,0.014753841399999967,0.025427830799999995
AR,Buenos Aires,Castelar - Ituzaingo,Restaurants Markdowns / GMV,0.1743278951,0.1679050636,0.1524467778,0.006422831500000004,0.021881117300000003
AR,Buenos Aires,Castelar - Ituzaingo,Restaurants SS > ATC CVR,0.4632855222,0.4616337976,0.4594529339,0.0016517246000000152,0.003832588299999995
AR,Buenos Aires,Castelar - Ituzaingo,Restaurants SST > SS CVR,0.9315187589,0.9344604966,0.9233098816,-0.0029417376999999467,0.008208877299999973
AR,Buenos Aires,Castelar - Ituzaingo,Retail SST > SS CVR,0.8984579664,0.9088007745,0.9116212189,-0.01034280809999999,-0.013163252500000056
AR,Buenos Aires,Castelar - Ituzaingo,Turbo Adoption,0.4009433962,0.4554455446,,-0.05450214839999995,
AR,Buenos Aires,Chacabuco - La Boca,% PRO Users Who Breakeven,0.458930277,0.470464816,0.4655720339,-0.01153453900000001,-0.006641756900000018
AR,Buenos Aires,Chacabuco - La Boca,% Restaurants Sessions With Optimal Assortment,0.931755194,0.9328347331,0.9251745795,-0.0010795391000000265,0.006580614499999915
AR,Buenos Aires,Chacabuco - La Boca,Gross Profit UE,1.848807812,3.192098708,2.191679497,-1.343290896,-0.342871685
AR,Buenos Aires,Chacabuco - La Boca,Lead Penetration,0.3769796608,0.3726919895,0.3539915137,0.004287671300000018,0.022988147100000023
AR,Buenos Aires,Chacabuco - La Boca,MLTV Top Verticals Adoption,0.3284601674,0.3365000482,0.3405313109,-0.00803988080000001,-0.012071143499999992
AR,Buenos Aires,Chacabuco - La Boca,Non-Pro PTC > OP,0.7886026806,0.785652039,0.8083314194,0.0029506416000000257,-0.019728738799999923
